iteration,model,winner_aic,winner_bic,simulated_params,recovered_params
41,rem,pea,pea,[7.4641911  3.50161521 4.02743673 0.98202825],[ 7.19844454  7.66436888 10.          0.92816761]
42,piece,piece,piece,[5.22735286 0.40757552 1.82471709],[8.83372923 0.01       1.77537858]
42,pea,pea,pea,[7.95679172 0.48568289 1.44555221],[10.          0.47695486  1.47091797]
42,premo,premo,premo,[ 0.82629398  6.44042618  9.78167816  7.64290226  1.         -0.05928036],[ 0.30125764  0.3362572  10.          0.01        0.96995742 -0.02546518]
42,rem,piece,piece,[0.90708492 0.15431788 3.51056828 0.80511394],[10.          0.02259259  0.          0.78048699]
43,piece,piece,piece,[4.1463422  1.33456822 1.64197412],[4.17196739 1.22576733 1.58544805]
43,pea,pea,pea,[4.91964746 0.18980253 0.67416383],[6.04995828 0.14733892 0.60399033]
43,premo,premo,premo,[0.52720621 3.29866296 5.39972938 4.1943562  1.         1.72346465],[1.         3.66131982 3.77042672 6.85483279 0.81793562 1.74610741]
43,rem,pea,pea,[6.77941244 1.35790883 1.47870524 0.50210278],[9.99994159 0.52845084 0.17902731 0.48453801]
44,piece,piece,piece,[6.32625193 0.91029936 0.42821041],[4.98816104 1.37366123 0.39225979]
44,pea,rem,pea,[2.60434548 0.47764702 1.87760385],[2.68926319 0.4635586  1.85279629]
44,premo,premo,premo,[ 0.47571885  5.52308075  3.82004633  6.01620974  1.         -0.34560205],[ 0.73701974  4.54617803  4.51990297  5.11346483  0.98128363 -0.31550881]
44,rem,pea,pea,[7.56074832 2.71251707 2.23402668 1.71373869],[8.35676882 3.94316581 3.87866972 1.70515698]
45,piece,piece,piece,[ 4.23295868e+00  2.43031818e-01 -3.92967208e-03],[4.5805421  0.06048883 0.0281719 ]
45,pea,pea,pea,[ 3.97451577  0.41779721 -0.32080474],[ 5.9617621   0.33866866 -0.27872342]
45,premo,premo,premo,[0.9475009  5.17574105 5.08631747 7.91562435 1.         0.8323024 ],[0.90051375 5.49582768 5.52333208 3.24550698 0.99404447 0.88455244]
45,rem,rem,rem,[1.18676911 1.54327331 3.32578651 0.7636272 ],[0.60467625 0.41295906 0.00675305 0.82644069]
46,piece,piece,piece,[ 6.25979227  0.78909496 -0.50776531],[ 6.15965343  0.83458842 -0.53519436]
46,pea,pea,pea,[9.17559609 0.38829849 0.47546328],[6.1282308  0.38014303 0.46994813]
46,premo,premo,pea,[ 0.1351379   3.18300232  6.55929873  6.94373806  1.         -0.53336433],[ 0.685209    2.63270759  4.16156791  7.79542348  0.80792438 -0.58204813]
46,rem,rem,rem,[2.19043574 1.55644664 0.60441512 1.7387506 ],[2.36832742 2.3895215  1.31644296 1.77399387]
47,piece,piece,piece,[4.26519549 1.30596643 1.26605645],[4.30359272 1.4355516  1.28835465]
47,pea,pea,pea,[3.38799385 0.48709929 0.42688943],[3.09705615 0.53174289 0.35461367]
47,premo,premo,premo,[0.33735746 4.6656846  8.27682949 7.53916239 1.         0.91332734],[0.62672273 3.48075731 4.61555204 5.81435056 1.         1.00377132]
47,rem,pea,pea,[9.09000481 3.75413145 6.1964664  0.45326108],[8.99976447 2.71301135 4.22199121 0.49270143]
48,piece,piece,piece,[4.29569944 1.09702198 0.1110178 ],[4.13274491 0.80904092 0.16512008]
48,pea,pea,pea,[8.78676197 0.21888635 0.29030239],[7.39747169 0.21595482 0.31140844]
48,premo,premo,premo,[ 0.63332784  6.63243487  4.78303236  4.80705778  1.         -0.37833223],[ 0.55150378  4.5582101   6.05820684  3.56873045  0.97955126 -0.32496866]
48,rem,pea,pea,[5.07378582 2.51657825 6.85523816 0.62891568],[4.68375922 1.89863135 5.05532745 0.62678438]
49,piece,piece,piece,[5.73298382 1.25502624 0.22324245],[4.57093996 0.82047327 0.11486183]
49,pea,pea,pea,[9.55710858 0.38633963 1.34940098],[10.          0.40350683  1.39306319]
49,premo,premo,premo,[0.3321923  1.54451466 1.83055465 2.69675496 1.         0.44996758],[0.2503671  4.39492134 8.99922771 1.01113311 0.96838389 0.53359033]
49,rem,pea,pea,[ 8.65357701  0.13657783  4.19144181 -0.05922622],[ 1.81166496  0.68502838  7.01275594 -0.07827029]
50,piece,piece,piece,[ 4.76855359  0.5227508  -0.64605318],[ 5.9245686   0.93041797 -0.77977562]
50,pea,pea,pea,[ 9.74962855  0.16038321 -0.06304915],[ 4.88753957  0.18682862 -0.03747946]
50,premo,premo,premo,[0.87441208 3.02621552 2.28222892 7.13175133 1.         1.77782104],[ 0.87855758 10.          0.01        2.87913038  1.          1.9022248 ]
50,rem,rem,rem,[2.7370812  2.56018335 1.78854615 0.51462341],[2.63223911 1.55989764 0.80287195 0.45515402]
51,piece,piece,piece,[6.17384862 0.66213996 0.43319743],[5.44050594 0.01051524 0.43454396]
51,pea,pea,pea,[6.51485539 0.19732571 0.32176755],[4.31201918 0.25934064 0.31329812]
51,premo,premo,premo,[0.43399863 1.38085321 1.0479916  1.37222711 1.         1.95462693],[0.98055525 3.41261704 4.53221383 6.0000776  1.         1.8485158 ]
51,rem,pea,pea,[ 3.96732055  3.69717188  8.58748025 -0.34184672],[ 3.52226612  2.83618355  4.76609957 -0.27490982]
52,piece,piece,piece,[ 4.69263039  0.30854206 -0.13130919],[ 3.99567127  0.23270905 -0.07374624]
52,pea,pea,pea,[2.5703217  0.3080109  0.03921902],[2.99772381 0.27582032 0.01099319]
52,premo,pea,pea,[0.78339698 6.58373028 0.67625342 0.14884888 1.         1.03500233],[0.39383221 3.03549683 3.80362615 7.31513132 0.6298166  1.11563583]
52,rem,pea,pea,[3.31691756 0.94934069 5.06739289 1.50302933],[3.2670594  1.03920185 6.58621858 1.54088034]
53,piece,piece,piece,[5.64525214 0.55328631 1.56700571],[7.54553961 0.4999959  1.56248076]
53,pea,pea,pea,[ 9.97366064  0.26158806 -0.17148662],[ 6.54022945  0.26252777 -0.20338167]
53,premo,premo,premo,[0.49986647 7.15817765 4.61197776 8.35052006 1.         1.85772249],[0.99998901 4.04083258 4.70167266 5.23327385 1.         1.85219332]
