iteration,model,winner_aic,winner_bic,simulated_params,recovered_params
41,premo,premo,premo,[ 0.28629989  9.52051933  5.58598541 19.70397701  1.          0.346893  ],[ 0.57824123 12.52486458 12.50951326 12.50961148  0.95459827  0.32397287]
41,rem,rem,rem,[ 3.54296418  2.36067126  0.4875889  -0.54169191],[ 3.82587156  3.25032146  0.96823313 -0.47599247]
42,piece,piece,piece,[ 4.47451365  0.76226462 -0.20121337],[ 5.53464714  0.77977037 -0.18895595]
42,pea,pea,pea,[22.17330644  0.4530036   0.2798827 ],[13.56115886  0.47493017  0.29028588]
42,premo,premo,premo,[ 0.84469156 24.28552905  5.21652778 24.99064433  1.          1.27392918],[ 0.88609358 25.         22.25399367  7.7064989   0.95479618  1.19872553]
42,rem,rem,rem,[16.57101886  1.88825112  0.78394897  1.5305291 ],[23.75243128  4.33198183  3.09878703  1.41923561]
43,piece,piece,piece,[ 4.00695059  0.76897361 -0.60732814],[ 5.09065936  0.74775132 -0.57720567]
43,pea,pea,pea,[6.10709646 0.24698428 0.87670582],[13.47124117  0.19203751  0.93522961]
43,premo,premo,premo,[ 0.61962821  3.26188753 22.80693389 21.64374782  1.          1.28736974],[ 0.29754597  0.63671912 25.          0.07950237  1.          1.25911821]
43,rem,pea,pea,[ 5.50519142  2.60267992  8.51261973 -0.16237916],[ 5.93716294  2.72752124  7.50839653 -0.16773953]
44,piece,piece,piece,[4.89403748 0.12533206 0.84163453],[4.07236391 0.05577951 0.80133525]
44,pea,pea,pea,[13.04073613  0.45519655 -0.12180847],[13.636731    0.46949359 -0.10630819]
44,premo,premo,pea,[ 0.06799189 23.90737604  6.10893561 16.85040801  1.          1.68593424],[ 0.79339648  8.62476208  0.12526241 25.          1.          1.7129956 ]
44,rem,pea,pea,[20.66036649  1.05029215  0.8972513  -0.58656539],[25.          0.54521628  0.         -0.53453812]
45,piece,piece,piece,[5.39114151 1.3223438  1.33892185],[4.86060587 1.47208691 1.4515764 ]
45,pea,rem,pea,[ 6.37837988  0.41827636 -0.2175219 ],[13.53656829  0.36855599 -0.04300698]
45,premo,premo,pea,[ 0.49098356 23.45192024 17.6168957  11.50822899  1.          1.12534678],[ 0.99931088  9.03201556  5.42393675 23.74464289  1.          1.08895218]
45,rem,pea,pea,[20.48019707  2.61911369  2.52319547  0.95473741],[16.02256774  3.74932235  3.69189176  1.07585104]
46,piece,piece,piece,[3.62457513 0.57573429 1.83564473],[4.28587416 0.21504308 1.77038603]
46,pea,pea,pea,[ 5.49153077  0.23520206 -0.30618712],[13.42601663  0.167702   -0.27856003]
46,premo,premo,pea,[ 0.25181466 24.14914368 22.35616018 24.64799308  1.          0.99166447],[0.46408814 0.15159163 0.01018468 0.238851   0.83584096 1.00165161]
46,rem,pea,pea,[14.30669897  2.56720816  2.21697704  0.32767177],[12.87071454  4.28069155  4.06142712  0.32422597]
47,piece,piece,piece,[6.03335859 0.31612644 1.21499229],[6.23014935 0.18625558 1.19697617]
47,pea,pea,pea,[ 3.08949853  0.33353566 -0.71540401],[13.31796255  0.19128006 -0.72960671]
47,premo,premo,premo,[ 0.81374826 22.47527741 15.38254512 15.76009504  1.          1.79993019],[ 0.88881253 11.75685445 12.74645647 12.62556222  1.          1.93395435]
