trialnum,tgt_distance,tgt_angle_1,tgt_angle_2,rotation,gain,online_fb,endpoint_feedback,clamped_fb,between_blocks,target_size
512,90,90,90,0,1,0,0,0,0,6
513,90,90,94,0,1,1,1,0,0,6
514,90,90,90,0,1,0,0,0,0,6
515,90,90,90,0,1,1,1,0,0,6
516,90,90,90,0,1,0,0,0,0,6
517,90,90,94,0,1,1,1,0,0,6
518,90,90,90,0,1,0,0,0,0,6
519,90,90,94,0,1,1,1,0,0,6
520,90,90,90,0,1,1,1,0,0,6
521,90,90,90,-2,1,1,1,0,0,6
522,90,90,90,0,1,0,0,0,0,6
523,90,90,94,0,1,1,1,0,0,6
524,90,90,90,0,1,1,1,0,0,6
525,90,90,92,0,1,1,1,0,0,6
526,90,90,90,0,1,0,0,0,0,6
527,90,90,94,0,1,1,1,0,0,6
528,90,90,90,0,1,0,0,0,0,6
529,90,90,92,0,1,1,1,0,0,6
530,90,90,90,0,1,1,1,0,0,6
531,90,90,90,-2,1,1,1,0,0,6
532,90,90,90,0,1,1,1,0,0,6
533,90,90,94,0,1,1,1,0,0,6
534,90,90,90,0,1,0,0,0,0,6
535,90,90,94,0,1,1,1,0,0,6
536,90,90,90,0,1,0,0,0,0,6
537,90,90,90,-4,1,1,1,0,0,6
538,90,90,90,0,1,0,0,0,0,6
539,90,90,90,4,1,1,1,0,0,6
540,90,90,90,0,1,1,1,0,0,6
541,90,90,90,-2,1,1,1,0,0,6
542,90,90,90,0,1,0,0,0,0,6
543,90,90,88,0,1,1,1,0,0,6
544,90,90,90,0,1,0,0,0,0,6
545,90,90,90,-2,1,1,1,0,0,6
546,90,90,90,0,1,0,0,0,0,6
547,90,90,94,0,1,1,1,0,0,6
548,90,90,90,0,1,1,1,0,0,6
549,90,90,88,0,1,1,1,0,0,6
550,90,90,90,0,1,1,1,0,0,6
551,90,90,86,0,1,1,1,0,0,6
552,90,90,90,0,1,0,0,0,0,6
553,90,90,90,-2,1,1,1,0,0,6
554,90,90,90,0,1,1,1,0,0,6
555,90,90,90,-2,1,1,1,0,0,6
556,90,90,90,0,1,0,0,0,0,6
557,90,90,86,0,1,1,1,0,0,6
558,90,90,90,0,1,1,1,0,0,6
559,90,90,92,0,1,1,1,0,0,6
560,90,90,90,0,1,0,0,0,0,6
561,90,90,88,0,1,1,1,0,0,6
562,90,90,90,0,1,1,1,0,0,6
563,90,90,90,-2,1,1,1,0,0,6
564,90,90,90,0,1,1,1,0,0,6
565,90,90,86,0,1,1,1,0,0,6
566,90,90,90,0,1,0,0,0,0,6
567,90,90,90,0,1,1,1,0,0,6
568,90,90,90,0,1,0,0,0,0,6
569,90,90,92,0,1,1,1,0,0,6
570,90,90,90,0,1,1,1,0,2,6
571,90,90,92,0,1,1,1,0,0,6
572,90,90,90,0,1,1,1,0,0,6
573,90,90,86,0,1,1,1,0,0,6
574,90,90,90,0,1,0,0,0,0,6
575,90,90,94,0,1,1,1,0,0,6
576,90,90,90,0,1,1,1,0,0,6
577,90,90,88,0,1,1,1,0,0,6
578,90,90,90,0,1,0,0,0,0,6
579,90,90,86,0,1,1,1,0,0,6
580,90,90,90,0,1,0,0,0,0,6
581,90,90,90,-4,1,1,1,0,0,6
582,90,90,90,0,1,1,1,0,0,6
583,90,90,90,4,1,1,1,0,0,6
584,90,90,90,0,1,1,1,0,0,6
585,90,90,90,-2,1,1,1,0,0,6
586,90,90,90,0,1,1,1,0,0,6
587,90,90,90,0,1,1,1,0,0,6
588,90,90,90,0,1,0,0,0,0,6
589,90,90,90,-2,1,1,1,0,0,6
590,90,90,90,0,1,1,1,0,0,6
591,90,90,90,4,1,1,1,0,0,6
592,90,90,90,0,1,0,0,0,0,6
593,90,90,92,0,1,1,1,0,0,6
594,90,90,90,0,1,0,0,0,0,6
595,90,90,88,0,1,1,1,0,0,6
596,90,90,90,0,1,1,1,0,0,6
